path	sha256	bytes	description	source	used_by
data/raw/uniprot/uniprotkb_allproteins.fasta	1c02834c86a3ae6209a0327cf08aed85ba7fcefbf0b399b3816cf5eddb014adf	29334534	UniProtKB/Swiss-Prot human proteins + isoforms (FASTA)	uniprot.org, downloaded 2025-06-02; release published 2026-01-28	notebooks/02
data/raw/uniprot/uniprotkb_annotated	19d628cfa3ac45ecb0cccccb62ec004da0ba1bff5e5fce374c197b9f2411e807	228221922	UniProtKB human annotations, all return fields (TSV)	uniprot.org REST download	notebooks/02
data/raw/metapredict/IDRome_AllSwissProtHumansProIsos.csv	c64f6485ad75eef3d8ee5b9c70a437f2921e9d14ca92666593b033788a808a32	25808422	MetaPredict v3.1 IDRome for all Swiss-Prot human proteins/isoforms	ALBATROSS/idrome_constructor Colab (author's run); treated as ground truth	notebooks/02; pipeline s4,s4b,s9,s10b,events
data/raw/genorigin/Homo_sapiens.csv	e9f6dc356dc8ecdcb35d8a96cff3d3626d7b125af46157ffd88f2b0145fa1b3e	847857	GenOrigin gene ages (human)	http://chenzxlab.hzau.edu.cn/GenOrigin	notebooks/02
data/raw/appris/appris_data.appris.txt	f4f830fdca0b563cdbe556a82a3605cbce2047967106abb739e391c4150a7a45	22612803	APPRIS annotations (GENCODE-based)	appris.bioinfo.cnio.es	notebooks/04
data/raw/uniprot/idmapping/upkb_to_ensemble_humanisos.tsv	0b9461bf000bc4339bbddb2ba65ebc614efffc3a7cd860cec1162cf081e8a016	1038291	UniProt isoform -> Ensembl gene ID mapping	UniProt ID mapping service	notebooks/04
data/raw/ppi/Table_S1.tsv	10c62fd6502e2dbfbff9f67139b496401bc2eec88552d66f50710560ade01b22	1174853	TFIso clone library supplementary table (TF isoform Y2H study)	journal supplement	notebooks/04
data/raw/ppi/SuppTable_PairwiseY2HResults.txt	6d944d53cdec2f37b1940bc5266d9fa0b4d92cd4c3f17e4e0e9486b7948582b9	440379	TFIso pairwise Y2H results supplementary table	journal supplement	notebooks/04
data/external/hpc_snapshot/tf_labels_from_hpc_mapping.csv	04ee6d19e69060cb9e916a1c869f6efa092d991c652f1b2f601757a41051ed4b	6848	TF labels frozen from the AKEY-cluster run	see data/external/hpc_snapshot/README.md	notebooks/02
data/external/hpc_snapshot/gene_age_from_hpc_mapping.csv	a7eadc274f39572c95ea051b91d99c6a9550942c61c764a5ebbb617207c7dbee	103273	Gene ages frozen from the AKEY-cluster run	see data/external/hpc_snapshot/README.md	notebooks/02
data/raw/uniprot/uniprot_ensembl_xref_raw.tsv	5d05203bb08a215efe669296555253cd8322086eac14af3a417c0ca2f20c2690	6789170	UniProt -> Ensembl transcript/protein cross-references	rest.uniprot.org stream query (cached; re-download returns the current release)	pipeline fetch
data/raw/gencode/gencode.v50.annotation.gtf.gz	83fba3e9b03f0b8c958f3595c6c350adc55f468abf8b0e47b6d5284cfe13a453	124527720	GENCODE v50 comprehensive annotation, GRCh38	ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_50	pipeline s1,s2,exons
data/raw/gencode/gencode.v50.pc_translations.fa.gz	5d6408c3a1c22d864c96a55367cf5b69f1031dea1fe2cd6d03e366ae3fc56a45	21136991	GENCODE v50 protein-coding translations	ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_50	pipeline s3
data/raw/gencode/gencode.v50.pc_transcripts.fa.gz	ed3bcd295a39e97f22a5f2b200d6c46c54ca95c3739b614c06ebde7575e316a1	129953566	GENCODE v50 protein-coding transcripts	ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_50	pipeline s4b
data/raw/exon_density/TF_mRNA_hg38_CDS.fa	2d520af1ec224a69d18218f4a8329edfcd9fc29ebcdd712018e131f8dd25c699	3219157	RefSeq CDS exons of TF transcripts, hg38 (Susie Song)	AKEY cluster, /home/ss4521/akeylab/data/	notebooks/06
data/raw/exon_density/1-s2.0-S0092867420304815-mmc7.xlsx	e9fc4f55e9a131d514da31b70c5b7ce38a6925ca5bb77d98e840a0893533d709	503087	Lambert et al. 2018 (Cell) Table S7, TF IDR classification	Cell 2018 supplement mmc7	notebooks/06; length-matched IDR-only figure
data/raw/exon_density/IDRome_all.csv	544eb8a90a52152314b43e755115176855f53e5e65abc2c1830f1a994e02a418	31944872	MetaPredict IDRome for RefSeq TF transcripts (Susie Song)	AKEY cluster, /home/ss4521/akeylab/	notebooks/06
data/raw/exon_density/bed_all_tfs/all_idr.bed	d7861f66b12afee86473400779779b92436c6a2dd4de71f3d5ec65a8edfbbbb1	245741	TF IDR regions split at exon boundaries, hg38	AKEY cluster, Susie's pipeline	notebooks/06
data/raw/exon_density/bed_all_tfs/all_nonidr.bed	266b01cba764780e2dbee0102a20b6538a186494319088d1ee94a5edbc394ba7	195423	TF non-IDR regions split at exon boundaries, hg38	AKEY cluster, Susie's pipeline	notebooks/06
data/raw/exon_density/bed_all_transcripts/all_idr.bed	a303f5513ae02d5af3cd31ac7442481da8d99869e4e6064de47805ba8bbf864c	5910169	Proteome-wide IDR regions split at exon boundaries, hg38	AKEY cluster, Susie's pipeline	notebooks/06; length-matched IDR-only figure
data/raw/exon_density/bed_all_transcripts/all_nonidr.bed	f29e423be9adb6141e619696a59721ddfe030be148dc52df51cb8808f519ef20	11007428	Proteome-wide non-IDR regions split at exon boundaries, hg38	AKEY cluster, Susie's pipeline	notebooks/06; length-matched IDR-only figure
