family,n_iso,n_genes,median_idr,mean_idr,tf_frac
ALMS1 family,3,1,100.0,100.0,0.0
Protease inhibitor I27 (calpastatin) family,10,1,100.0,100.0,0.0
HAX1 family,6,1,100.0,89.442,0.0
Periaxin family,3,1,100.0,66.667,0.0
GnRH family,3,1,100.0,100.0,0.0
Vestigial family,6,1,100.0,100.0,0.0
RITA family,3,1,100.0,100.0,0.0
Caldesmon family,6,1,100.0,100.0,0.0
Mitoguardin family,3,1,100.0,85.104,0.0
ATPase inhibitor family,3,1,100.0,82.704,0.0
Vasculin family,4,1,100.0,97.103,1.0
Mastermind family,3,1,100.0,98.13,0.0
RBM5/RBM10 family,5,1,100.0,92.344,0.0
SERBP1-HABP4 family,4,1,100.0,100.0,0.0
SERF family,4,1,100.0,100.0,0.0
Glycophorin A family,3,1,100.0,100.0,0.0
Verprolin family,4,1,100.0,100.0,0.0
AUTS2 family,4,1,100.0,99.265,0.0
RSRP family,3,1,100.0,100.0,0.0
BCL9 family,4,1,100.0,100.0,0.0
C19orf12 family,4,1,100.0,75.0,0.0
FAM219 family,10,2,100.0,96.497,0.0
MLF family,5,1,100.0,91.355,0.0
Glucose-6-phosphatase family,3,1,100.0,66.667,0.0
MTFR1 family,3,1,100.0,74.472,0.0
Amelogenin family,3,1,100.0,100.0,0.0
MacroD-type family,5,1,100.0,77.992,0.0
MRNIP family,3,1,100.0,100.0,0.0
HMGA family,9,2,100.0,100.0,1.0
VCF family,6,1,100.0,87.735,0.0
Synuclein family,3,1,100.0,66.667,0.0
HOATZ family,3,1,100.0,90.335,0.0
Dysbindin family,10,3,100.0,83.82,0.0
FAM122 family,8,2,100.0,91.987,0.0
IL-7/IL-9 family,3,1,100.0,83.051,0.0
IFI6/IFI27 family,7,2,100.0,85.714,0.0
Synaptopodin family,8,2,100.0,96.03,0.0
CD99 family,12,3,100.0,92.723,0.0
Ric-3 family,5,1,100.0,96.413,0.0
POU2AF family,4,1,100.0,100.0,0.0
POM121 family,3,1,100.0,100.0,0.0
STOP family,3,1,100.0,100.0,0.0
Bombesin/neuromedin-B/ranatensin family,3,1,100.0,100.0,0.0
SS18 family,5,1,100.0,94.106,0.0
Elastin family,13,1,100.0,100.0,0.0
SH3RF family,3,1,100.0,86.923,0.0
4E-T/EIF4E-T family,3,1,100.0,100.0,0.0
Elbow/Noc family,3,1,100.0,100.0,1.0
YAP1 family,9,1,100.0,100.0,0.0
Myozenin family,3,1,100.0,100.0,0.0
Zyxin/ajuba family,3,1,100.0,84.524,0.0
Myelin basic protein family,6,1,100.0,100.0,0.0
NK-2 homeobox family,3,1,100.0,93.621,1.0
KRTAP type 9 family,3,1,100.0,100.0,0.0
Tachykinin family,12,3,100.0,95.045,0.0
STPG1 family,3,1,100.0,100.0,0.0
JUPITER family,6,2,100.0,96.777,0.0
UPF0690 family,3,1,100.0,100.0,0.0
PPDPF family,3,1,100.0,100.0,0.0
SZRD1 family,5,1,100.0,100.0,0.0
PSRC1 family,4,1,100.0,100.0,0.0
CIMAP family,3,1,100.0,100.0,0.0
Osteopontin family,4,1,100.0,100.0,0.0
PF07175/osteoregulin family,3,1,100.0,100.0,0.0
LST1 family,12,1,100.0,81.91,0.0
MAJIN family,3,1,100.0,81.173,0.0
FAM168 family,3,1,100.0,100.0,0.0
FAM131 family,6,2,100.0,100.0,0.0
CDV3 family,3,1,100.0,100.0,0.0
CENP-T/CNN1 family,3,1,100.0,93.939,1.0
TYROBP family,3,1,100.0,100.0,0.0
Tropomodulin family,3,1,100.0,90.128,0.0
Taperin family,4,1,100.0,96.976,0.0
CWC21 family,3,1,97.674,98.311,0.0
Dapper family,4,1,97.61,95.412,0.0
Type IV collagen family,5,1,96.595,93.589,0.0
MDM1 family,4,1,95.508,91.223,0.0
GW182 family,13,3,95.319,91.424,0.0
BCLAF1/THRAP3 family,7,2,95.047,89.846,0.0
NPIP family,6,1,94.665,95.022,0.0
CCSER family,4,1,94.664,92.593,0.0
FAM21 family,7,1,94.47,95.988,0.0
SLAIN motif-containing family,4,1,94.278,91.916,0.0
NHS family,4,1,93.928,94.955,0.0
AKNA family,12,2,93.534,92.039,0.667
NUP153 family,3,1,93.492,93.449,0.0
RAP80 family,5,1,92.405,84.338,0.0
LEM family,3,1,92.291,93.952,0.0
TORC family,3,1,91.956,91.78,0.0
Claspin family,3,1,91.667,91.525,0.0
MAP7 family,20,4,91.288,93.977,0.0
CCSAP family,4,1,91.111,86.059,0.0
Arkadia family,4,1,91.074,91.04,0.0
TALPID3 family,4,1,90.717,90.549,0.0
NOLC1 family,3,1,90.714,90.749,0.0
Ataxin-2 family,14,2,90.079,90.125,0.0
NUSAP family,7,1,89.545,91.004,0.0
MYT1 family,3,1,89.189,69.61,1.0
CEP170 family,6,2,88.781,88.551,0.0
NYAP family,3,1,88.668,70.016,0.0
PMEPA1 family,11,2,88.562,91.244,0.0
N-CoR nuclear receptor corepressors family,7,2,88.106,86.806,0.0
FAM149 family,4,1,88.094,88.993,0.0
BCOR family,7,2,87.915,88.863,0.0
TALE/IRO homeobox family,3,1,87.759,87.132,1.0
RRM TET family,6,1,87.338,89.008,0.0
NUT family,4,1,86.239,83.175,0.0
UIF family,4,1,85.747,88.69,0.0
LIMCH1 family,10,1,85.17,83.156,0.0
Dermokine family,16,1,85.024,76.389,0.0
SPATA31 family,4,1,84.945,84.857,0.0
MCAF family,4,1,84.929,86.691,0.0
CD225/Dispanin family,8,2,84.883,83.476,0.0
SAP130 family,3,1,84.637,81.006,0.0
AF4 family,13,3,84.591,87.529,0.0
FAM170 family,4,1,84.204,83.882,1.0
TCF/LEF family,39,3,83.855,83.917,1.0
