base_accession,is_tf,fate,age_bin
A0A1B0GTW7,False,conserved,<100
A0A1B0GTW7,False,conserved,<100
A0AUZ9,False,removed,500-1000
A0AUZ9,False,conserved,500-1000
A0AUZ9,False,conserved,500-1000
A0AUZ9,False,conserved,500-1000
A0AUZ9,False,conserved,500-1000
A0AUZ9,False,conserved,500-1000
A0AUZ9,False,conserved,500-1000
A0AUZ9,False,conserved,500-1000
A0AUZ9,False,conserved,500-1000
A0AUZ9,False,conserved,500-1000
A0AUZ9,False,conserved,500-1000
A0AUZ9,False,conserved,500-1000
A0AUZ9,False,conserved,500-1000
A0AUZ9,False,removed,500-1000
A0AUZ9,False,removed,500-1000
A0AUZ9,False,removed,500-1000
A0AUZ9,False,removed,500-1000
A0AUZ9,False,removed,500-1000
A0AUZ9,False,removed,500-1000
A0AUZ9,False,removed,500-1000
A0AUZ9,False,conserved,500-1000
A0AUZ9,False,conserved,500-1000
A0AUZ9,False,conserved,500-1000
A0AUZ9,False,conserved,500-1000
A0AUZ9,False,conserved,500-1000
A0AV02,False,removed,500-1000
A0AV02,False,conserved,500-1000
A0AV02,False,conserved,500-1000
A0AV02,False,conserved,500-1000
A0AVF1,False,conserved,500-1000
A0AVF1,False,conserved,500-1000
A0AVF1,False,conserved,500-1000
A0AVF1,False,conserved,500-1000
A0AVT1,False,conserved,500-1000
A0AVT1,False,conserved,500-1000
A0JP26,False,removed,<100
A0JP26,False,removed,<100
A0JP26,False,removed,<100
A0JP26,False,removed,<100
A0JP26,False,conserved,<100
A0MZ66,False,removed,>1000
A0MZ66,False,removed,>1000
A0MZ66,False,conserved,>1000
A0MZ66,False,conserved,>1000
A0MZ66,False,conserved,>1000
A0MZ66,False,conserved,>1000
A0MZ66,False,removed,>1000
A0MZ66,False,added,>1000
A0MZ66,False,conserved,>1000
A0MZ66,False,conserved,>1000
A0MZ66,False,conserved,>1000
A0MZ66,False,conserved,>1000
A0MZ66,False,conserved,>1000
A0MZ66,False,conserved,>1000
A0MZ66,False,conserved,>1000
A0MZ66,False,conserved,>1000
A0MZ66,False,conserved,>1000
A0MZ66,False,conserved,>1000
A0MZ66,False,conserved,>1000
A0MZ66,False,conserved,>1000
A0MZ66,False,conserved,>1000
A0MZ66,False,removed,>1000
A0MZ66,False,added,>1000
A0MZ66,False,conserved,>1000
A0MZ66,False,conserved,>1000
A0MZ66,False,conserved,>1000
A0MZ66,False,conserved,>1000
A0MZ66,False,conserved,>1000
A0MZ66,False,conserved,>1000
A0PJY2,True,removed,500-1000
A1A4V9,False,removed,100-500
A1A4V9,False,conserved,100-500
A1A519,True,conserved,100-500
A1A519,True,conserved,100-500
A1A519,True,conserved,100-500
A1A519,True,removed,100-500
A1A519,True,conserved,100-500
A1A519,True,conserved,100-500
A1A5C7,False,removed,>1000
A1A5C7,False,conserved,>1000
A1A5C7,False,removed,>1000
A1A5C7,False,conserved,>1000
A1L390,False,conserved,500-1000
A1L390,False,conserved,500-1000
A1L390,False,conserved,500-1000
A1L390,False,conserved,500-1000
A1L390,False,conserved,500-1000
A1L390,False,conserved,500-1000
A1L390,False,conserved,500-1000
A1XBS5,False,conserved,500-1000
A1XBS5,False,removed,500-1000
A1XBS5,False,removed,500-1000
A2A2Y4,False,conserved,500-1000
A2A2Y4,False,conserved,500-1000
A2A2Y4,False,conserved,500-1000
A2A2Y4,False,conserved,500-1000
A2A2Y4,False,conserved,500-1000
A2A2Y4,False,conserved,500-1000
A2A2Y4,False,removed,500-1000
A2A2Y4,False,removed,500-1000
A2A2Y4,False,removed,500-1000
A2A2Y4,False,added,500-1000
A2A2Y4,False,conserved,500-1000
A2A2Y4,False,conserved,500-1000
A2A2Y4,False,conserved,500-1000
A2AJT9,False,conserved,500-1000
A2AJT9,False,conserved,500-1000
A2AJT9,False,conserved,500-1000
A2AJT9,False,conserved,500-1000
A2AJT9,False,conserved,500-1000
A2AJT9,False,conserved,500-1000
A2AJT9,False,conserved,500-1000
A2RRH5,False,conserved,>1000
A2RRH5,False,conserved,>1000
A2RRH5,False,conserved,>1000
A2RRH5,False,conserved,>1000
A2RRH5,False,conserved,>1000
A2RRH5,False,conserved,>1000
A2RRH5,False,conserved,>1000
A2RRH5,False,conserved,>1000
A2RRL7,False,removed,100-500
A2RRL7,False,conserved,100-500
A2RRL7,False,conserved,100-500
A2RRL7,False,conserved,100-500
A2RRL7,False,conserved,100-500
A2RU30,False,removed,500-1000
A2RU30,False,removed,500-1000
A2RU30,False,removed,500-1000
A2RU30,False,removed,500-1000
A2RU30,False,removed,500-1000
A2RU30,False,conserved,500-1000
A2RU30,False,conserved,500-1000
A2RUB6,False,removed,500-1000
