base_accession,DBD
A0PJY2,C2H2 ZF
A1A519,C2H2 ZF
A8MT69,Unknown
O00327,bHLH
O00482,Nuclear receptor
O00712,SMAD
O14628,C2H2 ZF
O14770,Homeodomain
O14948,bHLH
O15119,T-box
O15350,p53
O15409,Forkhead
O43147,BED ZF
O43151,CxxC
O43316,Homeodomain; Paired box
O43435,T-box
O43474,C2H2 ZF
O43670,C2H2 ZF
O43918,SAND
O60381,HMG/Sox
O60663,Homeodomain
O60902,Homeodomain
O75030,bHLH
O75290,C2H2 ZF
O75398,SAND
O75461,E2F
O75469,Nuclear receptor
O75626,C2H2 ZF
O75820,C2H2 ZF
O75840,C2H2 ZF
O94916,Rel
O94983,CG-1
O95243,MBD
O95251,C2H2 ZF
O95600,C2H2 ZF
O95644,Rel
O95718,Nuclear receptor
O95780,C2H2 ZF
O95785,C2H2 ZF
O95936,T-box
P01100,bZIP
P01106,bHLH
P03372,Nuclear receptor
P04150,Nuclear receptor
P04637,p53
P05549,AP-2
P06401,Nuclear receptor
P08047,C2H2 ZF
P08048,C2H2 ZF
P08151,C2H2 ZF
P08235,Nuclear receptor
P08651,SMAD
P09086,Homeodomain; POU
P10070,C2H2 ZF
P10242,Myb/SANT
P10275,Nuclear receptor
P10276,Nuclear receptor
P10826,Nuclear receptor
P10827,Nuclear receptor
P11308,Ets
P12524,bHLH
P12757,Unknown
P13056,Nuclear receptor
P13378,Homeodomain
P13631,Nuclear receptor
P14651,Homeodomain
P14859,Homeodomain; POU
P14921,Ets
P15336,bZIP
P15408,bZIP
P15621,C2H2 ZF
P15622,C2H2 ZF
P15822,C2H2 ZF
P15863,Paired box
P15884,bHLH
P15923,bHLH
P15976,GATA
P16220,bZIP
P16989,CSD
P17010,C2H2 ZF
P17014,C2H2 ZF
P17021,C2H2 ZF
P17039,C2H2 ZF
P17040,C2H2 ZF
P17096,AT hook
P17097,C2H2 ZF
P17542,bHLH
P17544,bZIP
P17676,bZIP
P18583,Unknown
P18847,bZIP
P19544,C2H2 ZF
P19838,Rel
P20265,Homeodomain; POU
P20823,Homeodomain
P22736,Nuclear receptor
P23497,SAND
P23759,Homeodomain; Paired box
P23760,Homeodomain; Paired box
P24468,Nuclear receptor
P26358,CxxC
P27540,bHLH
P28698,C2H2 ZF
P35398,Nuclear receptor
P35680,Homeodomain
P35711,HMG/Sox
P35712,HMG/Sox
P35789,C2H2 ZF
P36402,HMG/Sox
P36956,bHLH
P37231,Nuclear receptor
P37275,C2H2 ZF; Homeodomain
P39880,CUT; Homeodomain
P40424,Homeodomain
P40426,Homeodomain
P40763,STAT
P41235,Nuclear receptor
P42226,STAT
P43268,Ets
P48380,RFX
P49639,Homeodomain
P49715,bZIP
P50221,Homeodomain
P50539,bHLH
P50549,Ets
P51814,C2H2 ZF
P52736,C2H2 ZF
P52742,C2H2 ZF
P52744,C2H2 ZF
P52747,C2H2 ZF
P52926,AT hook
P52952,Homeodomain
P53539,bZIP
P56179,Homeodomain
P56270,C2H2 ZF
P57071,C2H2 ZF
P61244,bHLH
P62508,Nuclear receptor
P78347,GTF2I-like
P78411,Homeodomain
P84022,SMAD
P84550,Unknown
P98182,C2H2 ZF
Q00653,Rel
Q01167,Forkhead
Q01196,Runt
Q01543,Ets
Q01892,Ets
Q02078,MADS box
Q02447,C2H2 ZF
Q02548,Paired box
Q02930,bZIP
Q02962,Homeodomain; Paired box
Q03060,bZIP
Q03112,C2H2 ZF
Q03164,CxxC; AT hook
Q03181,Nuclear receptor
Q03923,C2H2 ZF
Q03936,C2H2 ZF
Q04206,Rel
Q06330,CSL
Q06413,MADS box
Q06710,Paired box
Q06730,C2H2 ZF
Q08050,Forkhead
Q09FC8,C2H2 ZF
Q0D2J5,C2H2 ZF
Q12800,Grainyhead
Q12830,Unknown
Q12857,SMAD
Q12968,Rel
Q12986,NFX
Q13029,C2H2 ZF
Q13105,C2H2 ZF
Q13118,C2H2 ZF
Q13127,C2H2 ZF
Q13133,Nuclear receptor
Q13342,SAND
Q13360,C2H2 ZF
Q13398,C2H2 ZF
Q13422,C2H2 ZF
Q13469,Rel
Q13568,IRF
Q13887,C2H2 ZF
Q13950,Runt
Q13952,Unknown
Q14188,E2F
Q14587,C2H2 ZF
Q14653,IRF
Q14814,MADS box
Q14865,ARID/BRIGHT
Q14934,Rel
Q14938,SMAD
Q14994,Nuclear receptor
Q15047,MBD
Q15329,E2F
Q15406,Nuclear receptor
Q15424,Unknown
Q15561,TEA
Q15562,TEA
Q15583,Homeodomain
Q15714,Unknown
Q15723,Ets
Q15788,bHLH
Q15853,bHLH
Q15973,C2H2 ZF
Q16236,bZIP
Q16587,C2H2 ZF
Q16656,Unknown
Q16665,bHLH
Q17R98,C2H2 ZF
Q2KHR2,RFX
Q2M3W8,C2H2 ZF
Q2QGD7,C2H2 ZF
Q33E94,RFX
Q3KNS6,C2H2 ZF
Q3SY52,C2H2 ZF
Q3ZCX4,C2H2 ZF
Q49A26,AT hook
Q4VC44,FLYWCH
Q569K4,C2H2 ZF
Q5BKZ1,C2H2 ZF
Q5FWF6,C2H2 ZF
Q5H9K5,C2H2 ZF
Q5JVG2,C2H2 ZF
Q5T6S3,Unknown
Q5T7W0,C2H2 ZF
Q5TC79,C2H2 ZF
Q5VVJ2,Myb/SANT
Q5VZF2,CCCH ZF
Q68CJ9,bZIP
Q68DY1,C2H2 ZF
Q68DY9,C2H2 ZF
Q6MZP7,TCR/CxC
Q6N021,Unknown
Q6N043,C2H2 ZF
Q6NSZ9,C2H2 ZF
Q6NT76,Homeodomain
Q6NUN9,C2H2 ZF
Q6P1L6,C2H2 ZF
Q6P9G9,C2H2 ZF
Q6PCT2,CxxC
Q6ZN11,C2H2 ZF
Q6ZN18,C2H2 ZF
Q6ZN19,C2H2 ZF
Q6ZR52,C2H2 ZF
Q6ZRS2,AT hook
Q6ZS27,C2H2 ZF
Q6ZSB9,C2H2 ZF
Q6ZV50,RFX
Q70SY1,bZIP
Q70YC5,C2H2 ZF
Q7L2R6,C2H2 ZF
Q7Z340,C2H2 ZF
Q7Z4V0,C2H2 ZF
Q7Z591,AT hook
Q7Z7L9,C2H2 ZF
Q86UP3,C2H2 ZF; Homeodomain
Q86UP8,GTF2I-like
Q86UQ0,C2H2 ZF
Q86VK4,C2H2 ZF
Q86WP2,Unknown
Q86YE8,C2H2 ZF
Q86YF9,C2H2 ZF
Q86YP4,GATA
Q8IVH2,Forkhead
Q8IVW6,ARID/BRIGHT
Q8IW36,C2H2 ZF
Q8IWY8,C2H2 ZF
Q8IXF0,bHLH
Q8IXZ3,C2H2 ZF
Q8IYH5,Myb/SANT
Q8N184,C2H2 ZF
Q8N187,Unknown
Q8N228,AT hook
Q8N2I2,C2H2 ZF
Q8N2R0,C2H2 ZF
Q8N2Z9,Unknown
Q8N3X6,Pipsqueak
Q8N5A5,CCCH ZF
Q8N720,C2H2 ZF
Q8N8E2,C2H2 ZF
Q8N8J6,C2H2 ZF
Q8N9L1,C2H2 ZF
Q8NA31,Myb/SANT
Q8NB50,C2H2 ZF
Q8NCP5,C2H2 ZF
Q8NDQ6,C2H2 ZF
Q8NEP9,C2H2 ZF
Q8NF99,C2H2 ZF
