upkb_accession,gene_age,age_bin
A0A1B0GTW7,78,<100
A0AUZ9,645,500-1000
A0AV02,950,500-1000
A0AVF1,987,500-1000
A0AVI2,244,100-500
A0AVT1,645,500-1000
A0FGR8,1064,>1000
A0JP26,18,<100
A0MZ66,1488,>1000
A0PJE2,86,<100
A0PJK1,950,500-1000
A0PJY2,645,500-1000
A1A4V9,168,100-500
A1A4Y4,12,<100
A1A519,132,100-500
A1A5B4,544,500-1000
A1A5C7,1488,>1000
A1KZ92,55,<100
A1L390,645,500-1000
A1XBS5,987,500-1000
A1Z1Q3,1488,>1000
A2A288,424,100-500
A2A2Y4,680,500-1000
A2AJT9,645,500-1000
A2IDD5,680,500-1000
A2RRH5,4300,>1000
A2RRL7,244,100-500
A2RTY3,132,100-500
A2RU30,544,500-1000
A2RU49,987,500-1000
A2RUB1,544,500-1000
A2RUB6,680,500-1000
A2RUR9,25,<100
A2RUS2,680,500-1000
A2VDJ0,680,500-1000
A3KMH1,1292,>1000
A3KN83,645,500-1000
A4D0S4,544,500-1000
A4D161,950,500-1000
A4D1B5,544,500-1000
A4D1E9,950,500-1000
A4D1P6,1064,>1000
A4FU01,454,100-500
A4FU49,1488,>1000
A4FU69,1488,>1000
A4UGR9,544,500-1000
A5D8W1,987,500-1000
A5PL33,168,100-500
A5PLK6,424,100-500
A5PLN7,987,500-1000
A5PLN9,1488,>1000
A5X5Y0,78,<100
A5YKK6,1714,>1000
A5YM72,244,100-500
A6BM72,645,500-1000
A6H8Y1,645,500-1000
A6H8Z2,680,500-1000
A6NC86,454,100-500
A6NC98,244,100-500
A6NCI4,1064,>1000
A6NDV4,645,500-1000
A6NDY0,424,100-500
A6NFC5,101,100-500
A6NFN9,1714,>1000
A6NFQ2,454,100-500
A6NHR9,680,500-1000
A6NI73,168,100-500
A6NJ78,4300,>1000
A6NK59,645,500-1000
A6NKB5,987,500-1000
A6NNP5,168,100-500
A6NNW6,1292,>1000
A6PVS8,987,500-1000
A6QL63,1064,>1000
A6QL64,55,<100
A7E2V4,886,500-1000
A7E2Y1,645,500-1000
A7KAX9,950,500-1000
A8K0R7,680,500-1000
A8K830,424,100-500
A8K8P3,987,500-1000
A8K979,544,500-1000
A8MPS7,950,500-1000
A8MPX8,950,500-1000
A8MQ27,645,500-1000
A8MT69,12,<100
A8MT70,244,100-500
A8MTZ0,25,<100
A8MVW5,645,500-1000
A8MW92,886,500-1000
A8MWY0,950,500-1000
A9UHW6,987,500-1000
B0I1T2,1488,>1000
B1AJZ9,680,500-1000
B2RTY4,950,500-1000
B4DS77,382,100-500
B7ZAQ6,645,500-1000
